DATE,M1
2003-10-01,1294.7000000000000000
2003-11-01,1303.3500000000000000
2003-12-01,1303.7200000000000000
2004-01-01,1304.7000000000000000
2004-02-01,1320.4500000000000000
2004-03-01,1327.3000000000000000
2004-04-01,1328.4250000000000000
2004-05-01,1336.0800000000000000
2004-06-01,1343.6250000000000000
2004-07-01,1339.0000000000000000
2004-08-01,1353.5800000000000000
2004-09-01,1361.6000000000000000
2004-10-01,1364.5250000000000000
2004-11-01,1370.9200000000000000
2004-12-01,1374.2000000000000000
2005-01-01,1359.4600000000000000
2005-02-01,1371.1000000000000000
2005-03-01,1371.9000000000000000
2005-04-01,1358.3000000000000000
2005-05-01,1365.3200000000000000
2005-06-01,1379.9250000000000000
2005-07-01,1371.1000000000000000
2005-08-01,1375.9000000000000000
2005-09-01,1374.9750000000000000
2005-10-01,1378.8000000000000000
2005-11-01,1376.4250000000000000
2005-12-01,1373.9000000000000000
2006-01-01,1379.2400000000000000
2006-02-01,1378.5250000000000000
2006-03-01,1379.9750000000000000
2006-04-01,1386.1500000000000000
2006-05-01,1385.6800000000000000
2006-06-01,1372.8250000000000000
2006-07-01,1374.5000000000000000
2006-08-01,1372.2000000000000000
2006-09-01,1365.4250000000000000
2006-10-01,1369.9400000000000000
2006-11-01,1369.7500000000000000
2006-12-01,1368.5000000000000000
2007-01-01,1370.0200000000000000
2007-02-01,1363.8250000000000000
2007-03-01,1363.9750000000000000
2007-04-01,1377.9600000000000000
2007-05-01,1380.5250000000000000
2007-06-01,1368.6250000000000000
2007-07-01,1372.6800000000000000
2007-08-01,1370.6000000000000000
2007-09-01,1383.4000000000000000
2007-10-01,1377.3200000000000000
2007-11-01,1369.7750000000000000
2007-12-01,1374.7000000000000000
2008-01-01,1376.7750000000000000
2008-02-01,1378.1000000000000000
2008-03-01,1390.1200000000000000
2008-04-01,1391.2250000000000000
2008-05-01,1391.3000000000000000
2008-06-01,1404.6600000000000000
2008-07-01,1420.8250000000000000
2008-08-01,1408.8750000000000000
2008-09-01,1452.8000000000000000
2008-10-01,1466.7500000000000000
2008-11-01,1512.6500000000000000
2008-12-01,1587.3400000000000000
2009-01-01,1588.8500000000000000
2009-02-01,1566.7500000000000000
2009-03-01,1575.4000000000000000
2009-04-01,1613.2750000000000000
2009-05-01,1617.3250000000000000
2009-06-01,1651.5600000000000000
2009-07-01,1659.7250000000000000
2009-08-01,1662.2200000000000000
2009-09-01,1665.1000000000000000
2009-10-01,1675.7750000000000000
2009-11-01,1683.0000000000000000
2009-12-01,1691.1500000000000000
2010-01-01,1679.0750000000000000
2010-02-01,1694.7000000000000000
2010-03-01,1710.5000000000000000
2010-04-01,1693.8500000000000000
2010-05-01,1712.1600000000000000
2010-06-01,1732.4500000000000000
2010-07-01,1722.7500000000000000
2010-08-01,1745.8800000000000000
2010-09-01,1764.4750000000000000
2010-10-01,1782.9250000000000000
2010-11-01,1818.2400000000000000
2010-12-01,1833.9250000000000000
2011-01-01,1853.1200000000000000
2011-02-01,1872.6250000000000000
2011-03-01,1890.8750000000000000
2011-04-01,1896.7000000000000000
2011-05-01,1935.6200000000000000
2011-06-01,1952.1000000000000000
2011-07-01,1986.6000000000000000
2011-08-01,2105.0800000000000000
2011-09-01,2119.4250000000000000
2011-10-01,2143.7000000000000000
2011-11-01,2167.4500000000000000
2011-12-01,2157.5750000000000000
2012-01-01,2201.6600000000000000
2012-02-01,2209.2250000000000000
2012-03-01,2224.4250000000000000
2012-04-01,2247.9400000000000000
2012-05-01,2256.7750000000000000
2012-06-01,2273.3000000000000000
2012-07-01,2313.5000000000000000
2012-08-01,2337.1500000000000000
2012-09-01,2396.0750000000000000
2012-10-01,2414.7000000000000000
2012-11-01,2417.6750000000000000
2012-12-01,2461.9000000000000000
2013-01-01,2473.3500000000000000
2013-02-01,2473.4000000000000000
2013-03-01,2471.4250000000000000
2013-04-01,2514.9200000000000000
2013-05-01,2521.2000000000000000
2013-06-01,2540.0750000000000000
2013-07-01,2543.0600000000000000
2013-08-01,2544.9250000000000000
